idpk,CIK,year,assets,CurrentAssets,NoncurrentAssets,liabilities,CurrentLiabilities,NoncurrentLiabilities,LiabilitiesAndStockholdersEquity,equity,CommonStockValue,RetainedEarningsAccumulatedDeficit,AccumulatedOtherComprehensiveIncomeLoss,MinorityInterest,revenues,SalesRevenueNet,CostOfGoodsSold,GrossProfit,OperatingExpenses,SellingGeneralAndAdministrativeExpense,ResearchAndDevelopmentExpense,OperatingIncomeLoss,InterestExpense,IncomeBeforeIncomeTaxes,IncomeTaxExpenseBenefit,NetIncomeLoss,PreferredStockDividendsAndOtherAdjustments,NetIncomeLossAvailableToCommonStockholdersBasic,EarningsPerShareBasic,EarningsPerShareDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInFinancingActivities,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsAtCarryingValue,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,PaymentsOfDividends,RepaymentsOfDebt,ProceedsFromIssuanceOfDebt,DepreciationAndAmortization,InventoryNet,AccountsReceivableNetCurrent,AccountsPayableCurrent,Goodwill,IntangibleAssetsNetExcludingGoodwill,PropertyPlantAndEquipmentNet,LongTermDebtNoncurrent,ShortTermBorrowings,IncomeTaxesPayableCurrent,EntityRegistrantName,EntityCentralIndexKey,TradingSymbol,EntityIncorporationStateCountryCode,EntityFilerCategory,DocumentPeriodEndDate,DocumentFiscalPeriodFocus,DocumentFiscalYearFocus,DocumentType,AmendmentFlag,CurrentFiscalYearEndDate
6870,1693256,2019,1360605000,432152000,,249832000,179719000,,1360605000,832934000,,18653000,,277839000,,,,57780000,87779000,82403000,,-29999000,6629000,,-851000,-16816000,,,,,,,-2899000,-156731000,122397000,3343000,40041000,98722000,130000,,111000000,,1804000,44992000,341711000,53847000,273421000,148377000,502848000,45000000,,,,,,,,,,,,,
6871,1693256,2020,1347620000,415601000,,234808000,151881000,,1347620000,937177000,,21437000,,175635000,,,,198482000,136808000,103156000,,61674000,5311000,,1704000,36512000,,,,,,,232409000,-168361000,-49293000,,2774000,165360000,762000,,90000000,,3176000,37542000,267628000,35686000,273801000,136952000,453278000,,,,,,,,,,,,,,
6872,1693256,2021,875359000,351505000,,169477000,88758000,,875359000,593061000,,-317247000,,112821000,,,,148740000,125666000,111622000,,23074000,2688000,,1949000,2784000,,,,,,,203948000,-77357000,-64690000,,79268000,110143000,142000,,50000000,,3860000,33384000,129392000,12995000,266934000,116079000,350365000,,,,,,,,,,,,,,
6873,1693256,2022,950192000,394786000,,255018000,162040000,,950192000,592096000,,-359472000,,103078000,,,,-29265000,365512000,74364000,,-394777000,2136000,,500000,-338684000,,,,,,,105810000,-5393000,-10710000,,85801000,21239000,76000,6020000,18780000,,2872000,44456000,232824000,36049000,266934000,108472000,391788000,16000000,,,,,,,,,,,,,
6874,1693256,2023,1222853000,517936000,,339125000,231290000,,1222853000,765977000,,-311194000,,117751000,,,,20860000,86400000,83076000,,-65540000,1711000,,147000,-42225000,,,,,,,-16248000,-64456000,-2542000,,7322000,39994000,58000,6020000,18780000,,2430000,41164000,429983000,61539000,4683000,138800000,499554000,16000000,,,,,,,,,,,,,
6875,1693256,2024,1218190000,454059000,,326018000,211547000,,1218190000,772488000,,-236791000,,119684000,,,,160755000,121593000,118935000,,39162000,1483000,,957000,48278000,,,,,,,33231000,-53246000,-58451000,,57083000,71884000,53000,6020000,22075000,,2209000,38653000,,42582000,4683000,116189000,517581000,75000000,,,,,,,,,,,,,
6876,1103090,2014,857748,720238,,1357107,1357107,,857748,36131,537269,-19427928,,,268694,,141691,127003,213683,,9496,-86680,-1972,,0,-111152,,,-0.01,-0.01,47213634,47213634,-71443,50700,1458,-9112,260575,,,,,,,313092,,,60000,73184,1226,,,,,,,,,,,,,,
6877,1103090,2015,843424,746281,,1409953,1409953,,843424,-499358,567025,-20268736,,,402442,,163783,238659,181482,,5763,57177,-1833,,0,26094,,,-0.02,,54232400,,,0,-2545,75350,251463,,,,,,,215958,,,60000,34043,0,,,,,,,,,,,,,,
6878,1103090,2016,706374,637958,,151678,151678,,706374,-566529,609584,-19432799,,,313222,,121317,191905,193627,,5228,-1722,-303,,0,-31275,,,,,,,,0,-2697,93480,271053,,,,,,,206409,,,60000,5316,0,,,,,,,,,,,,,,
6879,1103090,2017,630555,567455,,59068,59068,,630555,554696,654010,-19648995,,,373964,,107180,266784,230751,,26922,36033,-143,,0,35890,,,0.01,0.01,60958514,60958514,-107121,0,-2828,-109949,292087,,,,,,,226967,,,60000,0,0,,,,,,,,,,,,,,
6880,1103090,2018,579845,516745,,124419,124419,,579845,455426,713120,-20051184,,,255915,,90028,165887,168275,,11630,-2388,0,,0,-2388,,,0,0,,,,0,0,-30375,263964,,,,,,,155352,,53507,60000,0,0,,,,,,,,,,,,,,
6881,1103090,2019,592671,521805,,74928,74928,,592671,517743,791080,-20300707,,,425681,,,316371,217650,,14905,98721,-661,,0,98721,,,0,,,,,0,0,6818,235858,,,,,,,142325,,52450,60000,,7766,,,,,,,,,,,,,,
6883,1103090,2021,1676450,1445709,,463309,242629,,1676450,553026,847390,-19836180,,,1486714,,,893545,753272,,189856,140273,132,,,165595,,,0.04,0.01,,,-83363,,112786,,555156,,,,,111342,0,438606,340427,70204,60000,,,,,,,,,,,,,,,,
6884,1103090,2022,2478948,2305365,,299242,241849,,2478948,1213141,849890,-18897115,,,562362,,,418567,282064,,8697,136503,,,702,247768,,,0,0,84739086,84739086,264273,,,,,,,,,,,624486,175649,,60000,,,,,,,,,,,,,,,,
6885,1103090,2023,2446194,2328829,,149592,149592,,2446194,2179706,852140,-18807719,,,753576,,,519287,312782,,25325,206505,,,702,206505,,,0,0,84989086,85739086,105609,,,,,,,,,,,797352,129329,,60000,,,,,,,,,,,,,,,,
6886,1103090,2024,2668903,2370150,,776329,596366,,2668903,2296602,856640,-19266747,,,241127,,,127494,275333,,6066,-147839,,,312,-147839,,,0,0,85214086,85214086,-182858,,,,1277951,,,,,,,972293,108191,,60000,,,,,,,,,,,,,,,,
6890,1574565,2017,95986000,,,,,,,,,,,,,,,2874000,,4382000,14449000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6891,1574565,2018,77602000,,,,,,,,,,,,,,,901000,,3889000,16405000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6892,1574565,2019,58694000,,,,,,,,,,,,,,,536000,,3810000,16987000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6893,1574565,2020,71364000,,,,,,,,,,,,,,,295000,,3514000,14686000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6894,1574565,2021,71915000,,,,,,,,,,,,,,,419000,,3765000,15791000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6895,1574565,2022,76304000,,,,,,,,,,,,,,,466000,,5321000,17287000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6896,1574565,2023,56126000,,,,,,,,,,,,,,,163000,,7253000,21125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6897,1574565,2024,51101000,,,22416000,,,,,,,,,,,,766000,,6482000,20792000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6906,1847607,2022,606059,1797734,,612821,,,606059,0,,-31782,,,,,,,,,,-659,,,115025,-659,,,,,,,0,-116150000,117675234,,1525234,,25020,,,,,,,,,,,,,,,,,,,,,,,,
6907,1847607,2023,118089038,303159,,1094736,,,118089038,-6762,,-152238,,,,,,,,,,-274202,,,115025,-48269,,,,,,,0,-116150000,117675234,,19759,,25020,,,,,,,,,,,,,,,,,,,,,,,,
6908,1847607,2024,29964226,246202,,5115739,,,29964226,-151930,,-4680630,,,,,,,,,,-778386,,,246889,150388,,,,,,,41229,-118424,220000,,188235,,,,,,,,,,,,,,,,,,,,,,,,,,
6917,1898604,2022,5835115,1123675,4711440,8153755,3645112,,5835115,-1352130,,-2813042,,,,,,,813796,,,-279786,44145,,13924,-83897,,,-0.01,,3128077,,307913,-814163,559549,,,814163,1280000,,,1579654,,36573,,,,,2343524,,,,,,,,,,,,,,
6918,1898604,2023,16017689,6570020,9447669,10379846,1987134,,16017689,-2318640,,-6300409,,,,,,,405411,,,-758185,23609,,7040,-393792,,,-0.04,-0.09,9450900,9450900,-375460,-188829,59903,,,188829,60000,,61161,140000,,60899,,,,,3158428,,,,,,,,,,,,,,
6919,1898604,2024,13019364,1535349,11484015,10365885,3269060,,13019364,5637843,,-9340773,,,,,,,1198843,,,-1083352,,,6988,-1144489,,,-1.01,-1.01,1136274,1136274,-1768802,-938984,412785,,,938984,56000,,61161,812000,251687,73023,94135,,1985645,531051,4092950,,,,,,,,,,,,,,
6928,1734722,2022,866461000,734430000,,448197000,365156000,,866461000,-297943000,,-970360000,,,,,,276751000,794034000,,131066000,-517283000,,,2794000,-519933000,,-47853000,-3.41,-3.41,152382000,152382000,-359436000,-39506000,457765000,,357690000,15748000,,,,,8666000,,172286000,6682000,25311000,10191000,14822000,,,,,,,,,,,,,,
6929,1734722,2023,2572450000,2277301000,,650533000,527501000,,2572450000,-799511000,,-1495946000,,,,,,541786000,652109000,,109920000,-110323000,,,-2265000,-92393000,,,-0.55,-0.55,168255000,168255000,29177000,-125991000,250418000,,1768723000,1953000,,,,,12335000,,251988000,11515000,28059000,16817000,17176000,,,,,,,,,,,,,,
6930,1734722,2024,2735206000,2344407000,,815048000,626452000,,2735206000,-803704000,,-1824298000,,,,,,723384000,1224330000,,276657000,-500946000,,,14703000,-525586000,,,-1.16,-1.16,454625000,454625000,-54963000,-35442000,1469673000,,1402119000,8879000,,,,,14705000,,374217000,8891000,53564000,23010000,29045000,,,,,,,,,,,,,,
6947,1770561,2019,951792000,515758000,,955756000,378401000,,2209564000,,967000,194220000,,282000,768244000,,,,,21793000,,151765000,9955000,,0,142353000,,214330000,0,0,96652000,,255578000,-59323000,-258117000,,,63923000,,0,,,,95103000,206127000,42962000,28008000,5402000,1618558000,4073000,,,,,,,,,,,,,
6948,1770561,2020,2138906000,453822000,,1346913000,416206000,,2214854000,867720000,967000,91712000,,221000,1980504000,,,,,66207000,,333080000,8179000,,75212000,114681000,,96820000,0.21,0.21,96652000,,364753000,-666417000,407275000,,,114302000,0,0,,,,162170000,133297000,64392000,28008000,5079000,1632788000,1546000,,,,,,,,,,,,,
6949,1770561,2021,2138079000,529902000,,1341613000,387746000,,2148476000,806711000,1384000,-158919000,,152000,2215748000,,,,,36062000,,1626000,12253000,,114681000,305538000,,305538000,3.16,3.16,96652000,,477426000,-183730000,-391029000,,,183283000,0,408046000,,,,110135000,175206000,74651000,28008000,4217000,1521508000,0,,,,,,,,,,,,,
6950,1770561,2022,2148476000,903446000,,1383910000,472516000,,2461412000,,1677000,30506000,,,1462262000,,,,,30352000,,,,,-60016000,-226468000,,-226468000,-2.04,-2.04,111073000,111073000,-3000000,-114128000,137526000,,,117856000,171585000,24162000,,,,118922000,271923000,97514000,28008000,3514000,1397363000,13822000,,,,,,,,,,,,,
6951,1770561,2023,2461412000,989028000,,1446837000,600860000,,2549927000,,1677000,100554000,,,2148471000,,,,,30666000,,,,,53102000,189425000,,189425000,1.21,1.21,156710000,156842000,442014000,-134332000,80836000,,,89661000,97741000,0,,,,158018000,409979000,61780000,28008000,3311000,1389548000,235343000,,,,,,,,,,,,,
6952,1770561,2024,2549927000,944040000,,1432003000,507725000,,2678038000,,1677000,239854000,,,3571542000,,,,,42499000,,,,,231574000,,,107860000,4.6,4.6,167645000,167846000,926643000,-208343000,-784251000,,,199716000,,700244000,,,,192279000,263951000,113273000,28008000,3108000,1506437000,235343000,,,,,,,,,,,,,
6953,1011662,2014,2097352,2097154,,886102,886102,,2097352,1211250,93025,-16858375,,,111000,,,42059,,679200,,,45896,,,-9297253,,,,,,53252998,-112797,-256741,374900,5362,385141,,926100,,,,12831,840519,370481,166256,832674,1466344,67648,,,,,,,,,,,,,,
6954,1011662,2015,1379290,770897,,1226884,578269,,1379290,52870,108292,-28515563,,,111405,,,42059,12079281,2856416,,-10593903,6250,,0,-2835929,,-6229806,-0.12,,99848623,98551895,-362448,601299,125000,-237448,509224,,,,,-111420,12831,226897,302400,281726,0,596471,9040,,,,,,,,,,,,,,
6955,1011662,2016,271388,241359,,3272324,1006241,,271388,-913086,111997,-31350677,,,3313,,,-56243,,595760,,-652003,-55782,,0,-2293018,,,-0.02,-0.01,111142281,111142278,-714116,-1890,710849,-5157,160102,,175560,,,,4016,3312,0,278265,,,6915,,,,,,,,,,,,,,
6956,1011662,2017,29273,26858,,1925697,1925697,,29273,-957652,530807,-32711168,,,13079,,,13079,,83804,,-70725,-5454,,0,-50151,,,0,,530806571,,-2788,,0,-2788,2944,,,,,,4920,,4261,550106,,,,,,,,,,,,,,,,,
6957,1011662,2018,113000,113000,,3125720,3125720,,113000,-1896424,530807,-33827464,,,0,,,0,1363752,173781,,-173781,-5454,,77541,228063,,,0,,530806571,,0,0,0,0,0,,0,,,,,,,656758,,,,,,,,,,,,,,,,,
6958,1011662,2019,8100,8100,,4303579,4303579,,8100,-3012720,579901,-35661822,,,0,,,0,684452,684452,,-684452,-26404,,0,-554811,,,0,,530806571,,-63096,0,-26904,-90000,93000,0,12096,,,,,,,672284,,,0,,,,,,,,,,,,,,
6959,1011662,2020,525684,499402,26282,6683191,6683191,,525684,-8353691,643122,-38954344,,,0,,,0,156847,156847,,-156847,-412791,,,-344587,,,0,,539234148,,-252922,-3382,125000,-131304,8100,3382,286138,,,,,,,539614,,,26282,,,,,,,,,,,,,,
6960,1011662,2021,701225,264,700961,17506685,17403560,,701225,-6157507,668338,-51560884,,,,,,,1085417,247208,,-247208,225782,,,-2296759,,,0,0,619322584,619322584,-417907,-42108,-30500,-490515,493402,,60000,,,,,,,486593,,,45704,,,,,,,,,,,,,,
6961,1011662,2022,299770,98800,200970,11360697,11257572,,299770,-16805460,737264,-49349575,,,,,,,425424,425424,,-425424,1048852,,,3721651,,-4520610,0.01,0.01,647441868,,-1706673,-66971,1851739,,264,,,,,,,,,361813,,,33009,,,,,,,,,,,,,,
6962,1011662,2023,1043,1043,,,16076425,,1043,-11060927,800544,-55110636,,,,,,,280351,280351,,-280351,266000,,,-930083,,,0.01,,648640637,,-119773,131734,24512,,1043,,,,,,,,,363402,,,,,,,,,,,,,,,,,
6964,1543623,2014,2867847,2277128,,12901,565812,,2867847,1683552,1070,-516528,,,471822,,238965,232857,,203256,,29601,772,,,28829,,,,,,,21807,3003,165656,190466,348439,-3003,,,,,-1419,1421642,584813,140250,570176,,20543,,,,,,,,,,,,,,
6965,1543623,2015,3166112,2581482,,866138,807923,,3166112,1641606,1327,-838033,,,263646,,165844,97802,,305284,,-207482,918,,,-208400,,,,,,,89376,-200,-23715,65461,265873,200,,,,,2306,2343729,95700,199033,570176,,14454,,,,,,,,,,,,,,
6966,1543623,2016,3498619,2920543,,757479,508600,,3498619,2741140,1348,-438617,,,447484,,209140,238344,982390,268506,,-30162,4734,,0,-34896,,,,,,,53466,0,176621,230087,140253,0,,,,,1624,2320333,181084,41607,570176,0,7900,,,,,,,,,,,,,,
6967,1543623,2017,2437720,1667190,,1168149,831829,,2437720,2741140,1395,-2044787,,,252502,,130278,122224,466036,122224,,-108046,4768,,0,-112864,,,,,,,-118941,0,-16267,-135208,236404,0,,,,,1636,1201564,229222,51919,570176,183064,17290,,,,,,,,,,,,,,
6968,1543623,2018,2665617,2035930,,1355916,902761,,2665617,1269571,1405,-2034657,,,725472,,,355072,257741,257741,,97331,6098,,0,91233,,,,,,,186966,-1349,-78611,107006,442341,1349,0,,,,35989,1315498,278091,121499,570176,53841,5670,,,,,,,,,,,,,,
6969,1543623,2019,3335931,2750003,,1330337,890239,,3335931,1309701,1696,-4441727,,,999777,,,477284,1012546,1012546,,-535262,6879,,,-542141,,,,,,,54933,-22500,764137,796570,,5777,,,,,35147,1047612,730773,93263,570176,,5752,,,,,,,,,,,,,,
6970,1543623,2020,3541036,2749213,,1840872,1239503,,3541036,2005594,2007,-7602500,,,629053,,,317917,499233,499233,,-181316,6103,,,-187419,,,,,,,-236342,-100000,-19897,,,3592,,,,13800,285,1098250,560303,55493,570176,,7848,,,,,,,,,,,,,,
6971,1543623,2021,2454908,1804193,,1607748,1500161,,2454908,1700164,2572,-11140603,,,322239,,,166327,894842,,,-728515,13395,,,-1047369,,-1192486,,,,,67367,-235000,-5890,,,6446,100000,,,107587,499,1317687,255202,60977,570176,,5844,,,,,,,,,,,,,,
6972,1543623,2022,2851186,2246232,,2409917,2409917,,2851186,847160,2836,-13070148,,,417824,,,201172,860151,860151,,-658979,2823,,,-663561,,-663561,-0.08,-0.07,26645215,26645215,-192400,-6446,334017,,,6446,100000,,,221431,598,1792312,163577,91859,570176,,9719,,,,,,,,,,,,,,
6973,1543623,2023,3108737,2507001,,3457041,3457041,,3108737,441269,3162,-15130867,,,339515,,,227277,873503,873503,,-646226,3417,,,-649643,,-649643,-0.02,-0.02,28428215,28428215,-338864,-12629,171031,,126109,12629,,,,,13659,2024664,329858,100398,570176,,6501,,,,,,,,,,,,,,
6974,1543623,2024,2856876,2277944,,4839495,4839495,815672,2856876,-348304,4017,-18566684,,,647706,,,435589,735825,735825,,-300236,22140,,,-664534,,-666547,-0.02,-0.02,32634839,32634839,66052,-16539,38614,,152840,858,,,,,1287,1761783,342172,207929,570176,,4217,,,,,,,,,,,,,,
6982,1476840,2021,87733000,63664000,,73664000,39200000,,87733000,-51879000,0,-52348000,,,,,,48475000,47228000,,4110000,1247000,,,-2751000,1241000,,0,0,0,25921890,25921890,12430000,-4904000,5136000,,9990000,3235000,,,,,,,10024000,2328000,,,15363000,30321000,,,,,,,,,,,,,
6983,1476840,2022,183213000,157642000,,106598000,53576000,,183213000,-48464000,6000,-65906000,,,,,,55658000,49988000,,6728000,5670000,2900000,,4662000,-1710000,,-1710000,-0.06,-0.06,27424480,27424480,7585000,-4295000,8787000,,34401000,2488000,,,,,,,15713000,3752000,,,15930000,52067000,,,,,,,,,,,,,
6984,1476840,2023,210241000,187115000,,113000000,60362000,,210241000,-31036000,7000,-97573000,,,,,,89142000,99394000,,10988000,-10252000,3100000,,-174000,-13558000,,-13558000,-0.36,-0.36,38039222,38039222,5486000,-7614000,80565000,,98398000,2706000,,,,,,,16448000,1059000,,,14492000,51434000,,,,,,,,,,,,,
6985,1476840,2024,176784000,137232000,,76040000,67892000,,176784000,76615000,8000,-140773000,,,,,,106826000,122058000,,13692000,-15232000,,,6366000,-27009000,,-27009000,-0.33,-0.33,80786725,80786725,32876000,-2199000,-8282000,,103787000,585000,,,,,,,13834000,1425000,,,14372000,0,,,,,,,,,,,,,
6986,846617,2014,1896746000,,,1737286000,,,1896746000,106987000,113000,61441000,,,,,,,,,,,7555000,,6080000,12772000,,12444000,1.48,1.48,8410,8411,,,,,79546000,3592000,10507000,,,,1271000,,,,2034000,,27983000,,,,,,,,,,,,,,
6987,846617,2015,2288653000,,,2113535000,,,2288653000,118672000,117000,64547000,,,,,,,,,,,7272000,,6669000,13093000,,12764000,1.36,1.36,9380,9380,,,,,51249000,4029000,46237000,,,,1852000,,,,2034000,,32424000,,,,,,,,,,,,,,
6988,846617,2016,3781959000,,,3440831000,,,3781959000,159460000,174000,72243000,,,,,,,,,,,7460000,,7239000,13763000,,13444000,1.18,1.18,11355,11355,,,,,45573000,5232000,631000,,,,,,,,9450000,,39595000,,,,,,,,,,,,,,
6989,846617,2017,4054570000,,,3646583000,,,4054570000,175118000,191000,91594000,,,,,,,,,,,10129000,,10778000,21111000,,20660000,1.43,1.43,14473,14477,,,,,51730000,4325000,779000,,,,,,,,98445000,,35263000,,,,,,,,,,,,,,
6990,846617,2018,4430002000,,,4000802000,,,4430002000,341128000,197000,96547000,,,,,,,,,,,16845000,,18795000,35491000,,34759000,2.01,2,17304,17851,44236000,-279545000,244589000,9280000,104558000,4270000,48442000,,,,,,,,105950000,,33505000,,,,,,,,,,,,,,
6991,846617,2019,4700744000,,,4246914000,,,4700744000,407987000,198000,117432000,,,,,,,,,,,22689000,,18946000,20539000,,20124000,1.04,1.04,19355,19379,46826000,-411784000,345867000,4265000,113838000,2069000,951000,,,,,,,,105950000,,35008000,,,,,,,,,,,,,,
6992,846617,2020,4921520000,,,4424366000,,,4921520000,429200000,199000,150703000,,,,,,,,,,,32204000,,9141000,39227000,,38374000,1.97,1.97,19441,19468,58383000,-80549000,222787000,,94747000,5325000,1017000,,,,,,,,105950000,,34062000,,,,,,,,,,,,,,
6993,846617,2021,6781610000,,,6080514000,,,6781610000,602081000,348000,600641000,,,,,,,,,,,90847000,,10676000,36186000,,36186000,1.56,1.55,23103008,23185911,68491000,-10365000,-49894000,,,,,,,,,,,,55638000,,19053000,,,,,,,,,,,,,,
6994,846617,2022,12066364000,,,10873744000,,,12066364000,596758000,416000,654726000,,,,,,,,,,,56303000,,12666000,42318000,,37535000,1.74,1.74,21537948,21538448,59932000,-324385000,352568000,,,,,,,,,,,,55638000,,50368000,,,,,,,,,,,,,,
6995,846617,2023,13189921000,,,12020338000,,,13189921000,701096000,416000,762762000,,,,,,,,,,,27017000,,44170000,103996000,,96710000,2.45,2.45,38902426,38903037,146327000,1102821000,-1099029000,,,,,,,,,,,,55638000,,46749000,,,,,,,,,,,,,,
6996,846617,2024,13636005000,,,12409780000,,,13636005000,1192620000,416000,813007000,,,,,,,,,,,54920000,,59359000,152556000,,145270000,3.73,3.73,38538834,38538834,295172000,-1332191000,812594000,,,,135764000,,,,,,,,155797000,,44868000,,,,,,,,,,,,,,
6997,846546,2014,32140000,14877000,,,18646000,,32140000,11278000,17000,-12809000,,,,,25263000,5123000,,2402000,396000,-403000,68000,,-29000,-754000,,,,,,,-593000,-3226000,1943000,-1876000,1140000,1412000,,,,1357000,,7545000,,10413000,,,12452000,,,,,,,,,,,,,,
6999,846546,2016,25777000,9038000,,,13429000,,25777000,10586000,17000,-11699000,,,,,28631000,2674000,,2964000,366000,295000,136000,,1037000,-221000,,,,,,,245000,-2773000,1636000,-892000,116000,2778000,,,,963000,,3121000,,4791000,,,12484000,,,,,,,,,,,,,,
7000,846546,2017,23021000,7607000,,,8137000,,23021000,10622000,17000,-8828000,,,,,23092000,5852000,,3245000,228000,462000,273000,,1037000,1110000,,1110000,0.21,0.21,5246903,5246903,2647000,-132000,176000,2691000,3027000,1105000,,,,2927000,,1823000,,2501000,,,11717000,,,,,,,,,,,,,,
7001,846546,2018,20966000,7743000,,5371000,5244000,,20966000,11855000,17000,-6033000,,,,,17081000,8289000,,,200000,3302000,113000,,-310000,2871000,,2871000,0.55,0.55,5173431,5173431,3855000,581000,-3727000,709000,3547000,823000,,,,,,1018000,,1183000,,,10294000,,,,,,,,,,,,,,
7002,846546,2019,24755000,11385000,,7666000,4369000,,24755000,14578000,17000,-6029000,,,18952000,,,7678000,,5066000,158000,3166000,0,,-600000,2795000,,2795000,0.54,0.53,5143648,5316393,3145000,-410000,-2014000,721000,3745000,289000,,,,641000,,1012000,,924000,,,10434000,2527000,,,,,,,,,,,,,
7003,846546,2020,22486000,10404000,,7337000,4155000,,22486000,15595000,17000,-6492000,,,11523000,,,4565000,,4669000,152000,238000,62000,,0,4000,,4000,0,0,4910357,5290904,2786000,-216000,1536000,4106000,8751000,364000,,,,0,,829000,,443000,,,9591000,2485000,,,,,,,,,,,,,
7004,846546,2021,24201000,11851000,,9437000,6139000,,24201000,17089000,17000,-6094000,,,9992000,,,3957000,,4605000,175000,-540000,116000,,0,-463000,,-463000,0.1,0.1,4703224,4703224,15000,-575000,-113000,-673000,7527000,578000,,,,641000,,1178000,,775000,,,9439000,2438000,,,,,,,,,,,,,
7005,846546,2022,26421000,13411000,,9025000,5424000,,26421000,15149000,17000,-4323000,,,13096000,,,7406000,,7479000,213000,362000,114000,,0,398000,,398000,0.09,0.08,4646966,4816736,1158000,-630000,1667000,,10060000,260000,,,,1769000,841000,1097000,,572000,,,9500000,2773000,,,,,,,,,,,,,
7015,1844149,2021,649297,1161197,,636067,417096,,649297,0,,-11770,,,,,,,,,,-316021,,,,-5500,,,,,,,0,-233450000,234836671,0,,,,,,,,,,10035,,,,,,,,,,,,,,,,,
7016,1844149,2022,234721028,1161197,,8467096,417096,,234721028,0,,-7196643,,,,,,,,,,-5500,,,,-5500,,,,,,,-567838,-233450000,234836671,,,,,,,,,,,10035,,,,,,,,,,,,,,,,,
7017,1844149,2023,25629896,111909,,11301531,3251531,,25629896,-717501,622,-11090197,,,,,,,,,967826,-508376,6321665,,,-490179,,,-0.14,-0.14,3061982,3061982,-281126,42190,-7000,,18886,7872,500000,,125000,2500000,,243448,,783055,,,18817,,,,,,,,,,,,,,
7018,1844149,2024,1443055,1164109,,28635065,26534166,,1443055,-793893,1534,-27193544,,,,,,,,,599227,-4318901,,,,-4356555,,,-0.69,-0.69,6338068,6460348,-1467435,-10761,6594980,,2135670,10761,682178,,,2500000,,243448,,,,,67193,,,,,,,,,,,,,,
7027,1869601,2022,169050,169050,,147280,147280,,169050,0,187,-3230,,,,,,,,,,-3230,,,,-3230,,,0,0,1625000,1625000,0,0,21375,,,,25000,,,,,,,,,,,,,,,,,,,,,,,,
7028,1869601,2023,76944986,403533,,2744550,157051,,76944986,21770,230,-2341247,,,,,,,,,,0,,,,0,,,0,0,1848214,1848214,0,-75776764,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7029,1869601,2024,56236360,5308,,4119404,1531905,,56236360,-2341017,230,-4114326,,,,,,,,,,-128263,3513,,,694054,,,,,,,-4529,15185924,-15375924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7030,896493,2014,6977000,5771000,1206000,,1930000,,6977000,5527000,0,-9282000,,,2189000,,,828000,814000,,172000,14000,,,3000,107000,,107000,0.016,0.016,6853161,,-141000,-50000,-40000,-234000,1821000,50000,,,,,,1751000,2157000,1109000,,171000,616000,,,,,,,,,,,,,,
7031,896493,2015,6342000,5489000,853000,,1901000,,6342000,5047000,0,-9940000,,,2037000,,,762000,917000,,183000,-155000,,,0,-158000,,-158000,0,0,6828263,,33000,-22000,-40000,-31000,1696000,38000,,,,,,1653000,1548000,1061000,,66000,567000,,,,,,,,,,,,,,
7032,896493,2016,6048000,4287000,812000,1628000,1628000,,5099000,4441000,0,-11036000,,,1896000,,,713000,932000,,234000,-219000,,,-1000,-204000,,-204000,-0.07,-0.07,6775971,6775971,117000,-99000,,-50000,2110000,99000,,,,,,1542000,1240000,937000,,,709000,,,,,,,,,,,,,,
7033,896493,2017,4927000,3842000,,1913000,1879000,,5472000,3471000,,-12158000,,833000,1713000,,,620000,820000,,194000,-200000,407000,,-22000,-193000,,,,,,,134000,-74000,1279000,-83000,1241000,72000,300000,8000,,,,1122000,1439000,1231000,6002000,93000,570000,,1047000,,,,,,,,,,,,
7034,896493,2018,5705000,8785000,,11720000,11020000,,30510000,18009000,,-23412000,,781000,1628000,1628000,,708000,1495000,,227000,-787000,,,-78393,-994000,,,,,,,-272000,-692000,1097000,142000,996000,3000,,8000,,,,1993000,1898000,,3652000,2898000,1217000,,2439000,,,,,,,,,,,,
7035,896493,2019,38493386,12290069,,31361089,30735371,,49425880,18024133,,-55721115,,40658,5195847,,,1393138,4361433,,343023,-2968295,7262530,,-4458,-6060522,,,,,,,-2959126,-9764911,11892657,-848133,1478147,7478335,,1869,,,,3261126,1930971,,3651982,4359798,9313299,,47000,,,,,,,,,,,,
